group	date	value
1	said	0.0014856120933048884
1	would	0.0006430611588713103
1	like	0.0008190815490733113
1	one	0.0007392856388484042
1	sir	0.0007298978847042975
1	king	0.0004717346457413627
1	lancelot	0.00000704081560808004
1	could	0.0004952040311016295
1	go	0.0005069387237817629
1	look	0.0004388775062369892
1	come	0.0003708162886922154
1	man	0.0002792856857871749
1	knight	0.0001502040663057075
1	wart	0.0010819386651082996
1	time	0.0003755101657642688
1	arthur	0.00000704081560808004
1	say	0.0003051020096834684
1	know	0.00032153057943565516
1	well	0.0003778571043002955
1	thing	0.0002792856857871749
2	said	0.0012606060606060606
2	would	0.0006351515151515151
2	like	0.0006496969696969697
2	one	0.0008048484848484849
2	sir	0.0005866666666666667
2	king	0.0010036363636363637
2	lancelot	0.000014545454545454545
2	could	0.0006545454545454545
2	go	0.00048
2	look	0.00048484848484848484
2	come	0.000383030303030303
2	man	0.0003006060606060606
2	knight	0.0002909090909090909
2	wart	0
2	time	0.0002618181818181818
2	arthur	0.0003781818181818182
2	say	0.00039272727272727273
2	know	0.0002666666666666667
2	well	0.00035393939393939396
2	thing	0.00034424242424242426
3	said	0.001200645080315341
3	would	0.0007175452846854997
3	like	0.0006630781508644881
3	one	0.0006488693333459634
3	sir	0.000703336467166975
3	king	0.0005825615182595146
3	lancelot	0.001366414618031463
3	could	0.0005375669294508529
3	go	0.0005115174306668909
3	look	0.00044520961558044205
3	come	0.00035522043796311863
3	man	0.00043810520682117964
3	knight	0.0006843913771422752
3	wart	0.0000023681362530874578
3	time	0.0003765336642409058
3	arthur	0.00047836352312366644
3	say	0.00029838516788901966
3	know	0.0003646929829754685
3	well	0.0002912807591297573
3	thing	0.0004025831630248678
4	said	0.000883473449823905
4	would	0.00094343771112417
4	like	0.0007035806659231098
4	one	0.0005596664388024737
4	sir	0.0005956449955826327
4	king	0.0007275663704432158
4	lancelot	0.0007315639878632336
4	could	0.0005276854994423324
4	go	0.0005596664388024737
4	look	0.000483711707822138
4	come	0.00046372362072204964
4	man	0.000483711707822138
4	knight	0.0002678403671411838
4	wart	0.00000399761742001767
4	time	0.0003118141587613782
4	arthur	0.0006356211697828094
4	say	0.00041175459426181994
4	know	0.0003557879503815726
4	well	0.0002918260716612899
4	thing	0.00025984513230114853
