name	value
grummore	216.86351654243785
arthur	209.42819597526855
merlyn	209.42819597526855
palomides	205.71053569168387
gawaine	203.23209550262746
pellinore	199.5144352190428
gareth	195.17716488819403
agravaine	190.8398945573453
kay	179.68691370659135
gaheris	177.82808356479904
meg	177.82808356479904
gaelic	174.73003332847847
orkney	174.11042328121437
toirdealbhach	174.11042328121437
unicorn	1.2718549957273115
questing	1.187346358137457
knights	0.8995539815335024
queen	0.8821992423399301
magician	0.8243501116946889
beast	0.6824072485380759
