name	value
merlyn	213.52564883126783
kay	209.70814617039892
ector	204.1091422677912
pellinore	192.40213410779316
grummore	191.89313375301066
robin	179.4226250608389
archimedes	175.35062222257872
cully	172.55112027127484
twyti	169.751618319971
marian	169.24261796518843
boar	168.2246172556234
armour	167.46111672344963
mammy	167.46111672344963
sauvage	167.46111672344963
measter	166.44311601388458
wart	1.8987074941594189
hounds	1.1801838172106078
owl	1.1767126883364587
hob	1.1680348661510866
hawk	1.1506792217803425
