name	value
lancelot	322.1972245773362
arthur	217.49708660809785
guenever	206.3290718913791
elaine	201.8618660046916
galahad	185.66824466544938
gawaine	183.43464172210562
bors	182.8762409862697
armour	176.17543215623846
meliagrance	173.94182921289467
dap	173.66262884497672
pelles	171.42902590163294
tournament	170.870625165797
jenny	169.47462332620717
mordred	168.91622259037123
ector	168.63702222245328
lionel	168.07862148661735
orkney	167.79942111869937
agravaine	167.52022075078142
bliant	167.52022075078142
gareth	167.52022075078142
