name	value
gawaine	288.066162651771
lancelot	286.018298936237
mordred	281.2399502666579
arthur	269.6353892119657
agravaine	218.43879632361777
gareth	210.9299626999934
guenever	195.9122954527447
jenny	180.21200696698466
gaheris	178.84676448996203
armour	177.48152201293942
bors	177.48152201293942
agnes	176.11627953591682
england	1.2755074876909411
lance	1.214990709077867
madam	1.196370161812306
queen	1.029273303302408
knights	0.8540100473221218
aye	0.8348904193969996
castle	0.6074953545389336
sir	0.4781993205983342
